conditionnel
8,,je,tu,il,elle,nous,vous,ils,elles
aller,irais,irais,irait,irait,irions,iriez,iraient,iraient
avoir,aurais,aurais,aurait,aurait,aurions,auriez,auraient,auraient
être,serais,serais,serait,serait,serions,seriez,seraient,seraient
faire,ferais,ferais,ferait,ferait,ferions,feriez,feraient,feraient
courir,courrais,courrais,courrait,courrait,courrions,courriez,courraient,courraient
mourir,mourrais,mourrais,mourrait,mourrait,mourrions,mourriez,mourraient,mourraient
pouvoir,pourrais,pourrais,pourrait,pourrait,pourrions,pourriez,pourraient,pourraient
voir,verrais,verrais,verrait,verrait,verrions,verriez,verraient,verraient
envoyer,enverrais,enverrais,enverrait,enverrait,enverrions,enverriez,enverraient,enverraient
devoir,devrais,devrais,devrait,devrait,devrions,devriez,devraient,devraient
recevoir,recevrais,recevrais,recevrait,recevrait,recevrions,recevriez,recevraient,recevraient
savoir,saurais,saurais,saurait,saurait,saurions,sauriez,sauraient,sauraient
vouloir,voudrais,voudrais,voudrait,voudrait,voudrions,voudriez,voudraient,voudraient
venir,viendrais,viendrais,viendrait,viendrait,viendrions,viendriez,viendraient,viendraient
devenir,deviendrais,deviendrais,deviendrait,deviendrait,deviendrions,deviendriez,deviendraient,deviendraient
revenir,reviendrais,reviendrais,reviendrait,reviendrait,reviendrions,reviendriez,reviendraient,reviendraient
asseoir,assoirais,assoirais,assoirait,assoirait,assoirions,assoiriez,assoiraient,assoiraient
