futur simple
8,,je,tu,il,elle,nous,vous,ils,elles
avoir,aurai,auras,aura,aura,aurons,aurez,auront,auront
être,serai,seras,sera,sera,serons,serez,seront,seront
aller,irai,iras,ira,ira,irons,irez,iront,iront
venir,viendrai,viendras,viendra,viendra,viendrons,viendrez,viendront,viendront
faire,ferai,feras,fera,fera,ferons,ferez,feront,feront
savoir,saurai,sauras,saura,saura,saurons,saurez,sauront,sauront
pouvoir,pourrai,pourras,pourra,pourra,pourrons,pourrez,pourront,pourront
devoir,devrai,devras,devra,devra,devrons,devrez,devront,devront
vouloir,voudrai,voudras,voudra,voudra,voudrons,voudrez,voudront,voudront
falloir,faudrai,faudras,faudra,faudra,faudrons,faudrez,faudront,faudront
pleuvoir,pleuvrai,pleuvras,pleuvra,pleuvra,pleuvrons,pleuvrez,pleuvront,pleuvront
appeler,appellerai,appelleras,appellera,appellera,appellerons,appellerez,appelleront,appelleront
ennuyer,ennuierai,ennuieras,ennuiera,ennuiera,ennuierons,ennuierez,ennuieront,ennuieront
jeter,jetterai,jetteras,jettera,jettera,jetterons,jetterez,jetteront,jetteront
payer,paierai,paieras,paiera,paiera,paierons,paierez,paieront,paieront
envoyer,enverrai,enverras,enverra,enverra,enverrons,enverrez,enverront,enverront
acheter,achèterai,achèteras,achètera,achètera,achèterons,achèterez,achèteront,achèteront
promener,promènerai,promèneras,promènera,promènera,promènerons,promènerez,promèneront,promèneront
lever,lèverai,lèveras,lèvera,lèvera,lèverons,lèverez,lèveront,lèveront
geler,gèlerai,gèleras,gèlera,gèlera,gèlerons,gèlerez,gèleront,gèleront
enlever,enlèverai,enlèveras,enlèvera,enlèvera,enlèverons,enlèverez,enlèveront,enlèveront
amener,amènerai,amèneras,amènera,amènera,amènerons,amènerez,amèneront,amèneront
emmener,emmènerai,emmèneras,emmènera,emmènera,emmènerons,emmènerez,emmèneront,emmèneront
mener,mènerai,mèneras,mènera,mènera,mènerons,mènerez,mèneront,mèneront
semer,sèmerai,sèmeras,sèmera,sèmera,sèmerons,sèmerez,sèmeront,sèmeront
peser,pèserai,pèseras,pèsera,pèsera,pèserons,pèserez,pèseront,pèseront
mourir,mourrai,mourras,mourra,mourra,mourrons,mourrez,mourront,mourront
tenir,tiendrai,tiendras,tiendra,tiendra,tiendrons,tiendrez,tiendront,tiendront
voir,verrai,verras,verra,verra,verrons,verrez,verront,verront
valoir,vaudrai,vaudras,vaudra,vaudra,vaudrons,vaudrez,vaudront,vaudront
recevoir,recevrai,recevras,recevra,recevra,recevrons,recevrez,recevront,recevront
apercevoir,apercevrai,apercevras,apercevra,apercevra,apercevrons,apercevrez,apercevront,apercevront
asseoir,assoirai,assoiras,assoira,assoira,assoirons,assoirez,assoiront,assoiront
