passé composé
8,,je,tu,il,elle,nous,vous,ils,elles
avoir,ai eu,as eu,a eu,a eu,avons eu,avez eu,ont eu,ont eu
boire,ai bu,as bu,a bu,a bu,avons bu,avez bu,ont bu,ont bu
connaître,ai connu,as connu,a connu,a connu,avons connu,avez connu,ont connu,ont connu
croire,ai cru,as cru,a cru,a cru,avons cru,avez cru,ont cru,ont cru
devoir,ai dû,as dû,a dû,a dû,avons dû,avez dû,ont dû,ont dû
lire,ai lu,as lu,a lu,a lu,avons lu,avez lu,ont lu,ont lu
pleuvoir,ai plu,as plu,a plu,a plu,avons plu,avez plu,ont plu,ont plu
pouvoir,ai pu,as pu,a pu,a pu,avons pu,avez pu,ont pu,ont pu
recevoir,ai reçu,as reçu,a reçu,a reçu,avons reçu,avez reçu,ont reçu,ont reçu
savoir,ai su,as su,a su,a su,avons su,avez su,ont su,ont su
voir,ai vu,as vu,a vu,a vu,avons vu,avez vu,ont vu,ont vu
vouloir,ai voulu,as voulu,a voulu,a voulu,avons voulu,avez voulu,ont voulu,ont voulu
mettre,ai mis,as mis,a mis,a mis,avons mis,avez mis,ont mis,ont mis
prendre,ai pris,as pris,a pris,a pris,avons pris,avez pris,ont pris,ont pris
conduire,ai conduit,as conduit,a conduit,a conduit,avons conduit,avez conduit,ont conduit,ont conduit
dire,ai dit,as dit,a dit,a dit,avons dit,avez dit,ont dit,ont dit
écrire,ai écrit,as écrit,a écrit,a écrit,avons écrit,avez écrit,ont écrit,ont écrit
étre,ai été,as été,a été,a été,avons été,avez été,ont été,ont été
faire,ai fait,as fait,a fait,a fait,avons fait,avez fait,ont fait,ont faites
offrir,ai offert,as offert,a offert,a offert,avons offert,avez offert,ont offert,ont offert
ouvrir,ai ouvert,as ouvert,a ouvert,a ouvert,avons ouvert,avez ouvert,ont ouvert,ont ouvert
monter,suis monté(e),es monté(e),est monté,est montée,sommes monté(e)s,êtes monté(e)(s),sont montés,sont montées
retourner,suis retourné(e),es retourné(e),est retourné,est retournée,sommes retourné(e)s,êtes retourné(e)(s),sont retournés,sont retournées
sortir,suis sorti(e),es sorti(e),est sorti,est sortie,sommes sorti(e)s,êtes sorti(e)(s),sont sortis,sont sorties
venir,suis venu(e),es venu(e),est venu,est venue,sommes venu(e)s,êtes venu(e)(s),sont venus,sont venues
aller,suis allé(e),es allé(e),est allé,est allée,sommes allé(e)s,êtes allé(e)(s),sont allés,sont allées
naître,suis né(e),es né(e),est né,est née,sommes né(e)s,êtes né(e)(s),sont nés,sont nées
descendre,suis descendu(e),es descendu(e),est descendu,est descendue,sommes descendu(e)s,êtes descendu(e)(s),sont descendus,sont descendues
entrer,suis entré(e),es entré(e),est entré,est entrée,sommes entré(e)s,êtes entré(e)(s),sont entrés,sont entrées
rester,suis resté(e),es resté(e),est resté,est restée,sommes resté(e)s,êtes resté(e)(s),sont restés,sont restées
tomber,suis tombé(e),es tombé(e),est tombé,est tombée,sommes tombé(e)s,êtes tombé(e)(s),sont tombés,sont tombées
rentrer,suis rentré(e),es rentré(e),est rentré,est rentrée,sommes rentré(e)s,êtes rentré(e)(s),sont rentrés,sont rentrées
arriver,suis arrivé(e),es arrivé(e),est arrivé,est arrivée,sommes arrivé(e)s,êtes arrivé(e)(s),sont arrivés,sont arrivées
mourir,suis mort(e),es mort(e),est mort,est morte,sommes mort(e)s,êtes mort(e)(s),sont morts,sont mortes
partir,suis parti(e),es parti(e),est parti,est partie,sommes parti(e)s,êtes parti(e)(s),sont partis,sont parties
