présent
8,,je,tu,il,elle,nous,vous,ils,elles
voir,vois,vois,voit,voit,voyons,voyez,voient,voient
avoir,ai,as,a,a,avons,avez,ont,ont
vouloir,veux,veux,veut,veut,voulons,voulez,veulent,veulent
pouvoir,peux,peux,peut,peut,pouvons,pouvez,peuvent,peuvent
savoir,sais,sais,sait,sait,savons,savez,savent,savent
devoir,dois,dois,doit,doit,devons,devez,doivent,doivent
prendre,prends,prends,prend,prend,prenons,prenez,prennent,prennent
être,suis,es,est,est,sommes,êtes,sont,sont
aller,vais,vas,va,va,allons,allez,vont,vont
faire,fais,fais,fait,fait,faisons,faites,font,font
dire,dis,dis,dit,dit,disons,dites,disent,disent
lire,lis,lis,lit,lit,lisons,lisez,lisent,lisent
venir,viens,viens,vient,vient,venons,venez,viennent,viennent
souvenir,souviens,souviens,souvient,souvient,souvenons,souvenez,souviennent,souviennent
tenir,tiens,tiens,tient,tient,tenons,tenez,tiennent,tiennent
commencer,commence,commences,commence,commence,commençons,commencez,commencent,commencent
acheter,achète,achètes,achète,achète,achetons,achetez,achètent,achètent
manger,mange,manges,mange,mange,mangeons,mangez,mangent,mangent
rire,ris,ris,rit,rit,rions,riez,rient,rient
sourire,souris,souris,sourit,sourit,sourions,souriez,sourient,sourient
écrire,écris,écris,écrit,écrit,écrivons,écrivez,écrivent,écrivent
dormir,dors,dors,dort,dort,dormons,dormez,dorment,dorment
offrir,offre,offres,offre,offre,offrons,offrez,offrent,offrent
ouvrir,ouvre,ouvres,ouvre,ouvre,ouvrons,ouvrez,ouvrent,ouvrent
courir,cours,cours,court,court,courons,courez,courent,courent
découvrir,découvre,découvres,découvre,découvre,découvrons,découvrez,découvrent,découvrent
sortir,sors,sors,sort,sort,sortons,sortez,sortent,sortent
mettre,mets,mets,met,met,mettons,mettez,mettent,mettent
partir,pars,pars,part,part,partons,partez,partent,partent
lever,lève,lèves,lève,lève,levons,levez,lèvent,lèvent
espérer,espère,espères,espère,espère,espérons,espérez,espèrent,espèrent
appeler,appelle,appelles,appelle,appelle,appelons,appelez,appellent,appellent
jeter,jette,jettes,jette,jette,jetons,jetez,jettent,jettent
préférer,préfère,préfères,préfère,préfère,préférons,préférez,préfèrent,préfèrent
répéter,répète,répètes,répète,répète,répétons,répétez,répètent,répètent
disparaître,disparais,disparais,disparaît,disparaît,disparaissons,disparaissez,disparaissent,disparaissent
sentir,sens,sens,sent,sent,sentons,sentez,sentent,sentent
tenir,tiens,tiens,tient,tient,tenons,tenez,tiennent,tiennent
boire,bois,bois,boit,boit,buvons,buvez,boivent,boivent
conduire,conduis,conduis,conduit,conduit,conduisons,conduisez,conduisent,conduisent
recevoir,reçois,reçois,reçoit,reçoit,recevons,recevez,reçoivent,reçoivent
apercevoir,aperçois,aperçois,aperçoit,aperçoit,apercevons,apercevez,aperçoivent,aperçoivent
plaindre,plains,plains,plaint,plaint,plaignons,plaignez,plaignent,plaignent
peindre,peins,peins,peint,peint,peignons,peignez,peignent,peignent
croire,crois,crois,croit,croit,croyons,croyez,croient,croient
servir,sers,sers,sert,sert,servons,servez,servent,servent
suivre,suis,suis,suit,suit,suivons,suivez,suivent,suivent
asseoir,assois,assois,assoit,assoit,assoyons,assoyez,assoient,assoient
cueillir,cueille,cueilles,cueille,cueille,cueillons,cueillez,cueillent,cueillent
vivre,vis,vis,vit,vit,vivons,vivez,vivent,vivent
coudre,couds,couds,coud,coud,cousons,cousez,cousent,cousent
convaincre,convaincs,convaincs,convainc,convainc,convainquons,convainquez,convainquent,convainquent
inscrire,inscris,inscris,inscrit,inscrit,inscrivons,inscrivez,inscrivent,inscrivent
taire,tais,tais,tait,tait,taisons,taisez,taisent,taisent
distraire,distrais,distrais,distrait,distrait,distrayons,distrayez,distraient,distraient
battre,bats,bats,bat,bat,battons,battez,battent,battent
haïr,hais,hais,hait,hait,haïssons,haïssez,haïssent,haïssent
