subjonctif
8,que,je,tu,il,elle,nous,vous,ils,elles
être,sois,sois,soit,soit,soyons,soyez,soient,soient
avoir,aie,aies,ait,ait,ayons,ayez,aient,aient
aller,aille,ailles,aille,aille,allions,alliez,aillent,aillent
boire,boive,boives,boive,boive,buvions,buviez,boivent,boivent
connaître,connaisse,connaisses,connaisse,connaisse,connaissions,connaissiez,connaissent,connaissent
conduire,conduise,conduises,conduise,conduise,conduisions,conduisiez,conduisent,conduisent
devoir,doive,doive,doive,doive,devions,deviez,doivent,doivent
dire,dise,dises,dise,dise,disions,disiez,disent,disent
faire,fasse,fasses,fasse,fasse,fassions,fassiez,fassent,fassent
lire,lise,lises,lise,lise,lisions,lisiez,lisent,lisent
pouvoir,puisse,puisses,puisse,puisse,puissions,puissiez,puissent,puissent
prendre,prenne,prennes,prenne,prenne,prenions,preniez,prennent,prennent
savoir,sache,saches,sache,sache,sachons,sachez,sachent,sachent
venir,vienne,viennes,vienne,vienne,venions,veniez,viennent,viennent
voir,voie,voies,voie,voie,voyions,voyiez,voient,voient
vouloir,veuille,veuilles,veuille,veuille,voulions,vouliez,veuillent,veuillent
appeler,appelle,appelles,appelle,appelle,appelions,appeliez,appellent,appellent
acheter,achète,achètes,achète,achète,achetions,achetiez,achètent,achètent
croire,croie,croies,croie,croie,croyions,croyiez,croient,croient
commencer,commence,commences,commence,commence,commencions,commenciez,commencent,commencent
manger,mange,manges,mange,mange,mangions,mangiez,mangent,mangent
écrire,écrive,écrives,écrive,écrive,écrivions,écriviez,écrivent,écrivent
jeter,jette,jettes,jette,jette,jetions,jetiez,jettent,jettent
mourir,meure,meures,meure,meure,mourions,mouriez,meurent,meurent
ouvrir,ouvre,ouvres,ouvre,ouvre,ouvrions,ouvriez,ouvrent,ouvrent
sortir,sorte,sortes,sorte,sorte,sortions,sortiez,sortent,sortent
mettre,mette,mette,mette,mette,mettions,mettiez,mettent,mettent
partir,parte,partes,parte,parte,partions,partiez,partent,partent
espérer,espère,espères,espère,espère,espérions,espériez,espèrent,espèrent
répéter,répète,répètes,répète,répète,répétions,répétiez,répètent,répètent
recevoir,reçoive,reçoives,reçoive,reçoive,recevions,receviez,reçoivent,reçoivent
asseoir,assoie,assoies,assoie,assoie,assoyions,assoyiez,assoient,assoient
